Text,Type,Valence,Intensity,Controllability,Utility,Timestamp
Du kommer i morgen.,Not question,0,2,-2,0,2019-12-10 16:25:8
Det var sådan du havde det.,Not question,1,-2,2,1,2019-12-10 16:25:8
Jeg ville have stået op hele tiden.,Before but,-1,2,3,-1,2019-12-10 16:25:9
Betjeningen var elendig.,After but,-3,4,-2,-1,2019-12-10 16:25:9
Er der overhovedet nogen der gider?,Questions,-3,3,-2,-2,2019-12-10 16:25:9
Er det ikke sjovt?,Questions,0,2,0,0,2019-12-10 16:25:10
Jeg blev træt halvvejs og satte mig ned.,After but,0,-2,3,0,2019-12-10 16:25:10
Det er en god ide.,Simple positive,3,-4,2,3,2019-12-10 16:25:10
Hvornår holder han op?,Questions,-3,3,-3,-3,2019-12-10 16:25:11
Jeg er blank.,Before but,0,0,0,0,2019-12-10 17:18:44
Jeg har ikke en bedre forklaring selv.,After but,-1,1,-2,-1,2019-12-10 17:18:44
Vi er ikke til at regne med.,Simple negative,-2,-1,-4,-4,2019-12-10 17:18:44
Betjeningen var elendig.,After but,-5,-3,1,-2,2019-12-10 17:18:44
Jeg tror du har forstået det!,Simple positive,-2,-3,-4,-3,2019-12-10 17:18:45
Har du tid til en kop kaffe?,Questions,5,5,5,5,2019-12-10 17:18:46
Jeg ville have stået op hele tiden.,Before but,0,0,-1,0,2019-12-10 17:18:46
"Han kan hoppe højt, men han kan ikke løbe særlig hurtigt.",With but,0,0,2,2,2019-12-10 17:18:47
Jeg blev træt halvvejs og satte mig ned.,After but,0,3,3,5,2019-12-10 17:18:47
"Synes du ikke også at tiden flyver af sted, når man har det sjovt?",Questions,5,5,5,5,2019-12-10 17:18:47
Du har nogle gode idéer.,After but,5,5,1,5,2019-12-10 17:18:48
"Det er den udvikling, jeg går i gennem.",Simple positive,0,0,0,0,2019-12-10 17:18:49
Jeg tror du har forstået det!,Simple positive,-2,-2,-3,-2,2019-12-10 17:18:50
Betjeningen var elendig.,After but,-4,-3,-3,-4,2019-12-10 17:18:50
Det havde jeg glemt.,Simple negative,0,0,-4,-1,2019-12-10 17:18:50
Har du tid til en kop kaffe?,Questions,5,5,5,5,2019-12-10 17:18:51
Han kunne godt have givet en hånd med.,Before but,0,-2,-3,2,2019-12-10 17:18:52
Tiden er god til at planlægge det næste år.,Simple positive,0,0,0,0,2019-12-10 17:18:52
"Hun er ikke i tvivl om, at det er opbakningen, som har fået hende på rette spor.",Complex sentences,5,5,5,5,2019-12-10 17:18:52
Før var du sjov.,Before but,-4,-1,-4,-2,2019-12-10 17:18:53
"Hun er ikke i tvivl om, at det er opbakningen, som har fået hende på rette spor.",Complex sentences,3,-2,3,3,2019-12-10 18:38:15
"Jeg havde det super sjovt, men så blev jeg syg.",With but,-3,2,-4,-2,2019-12-10 18:38:15
"Det er ikke den udvikling, jeg går i gennem.",Simple negative,-1,-1,2,-1,2019-12-10 18:38:15
Du snupper en øl med mig.,Not question,3,-1,3,2,2019-12-10 18:38:16
Jeg vil bestemt ikke prøve den løsning næste gang.,Simple negative,-2,1,3,1,2019-12-10 18:38:16
Jeg blev træt halvvejs og satte mig ned.,After but,-1,-4,2,-1,2019-12-10 18:38:17
Hvad koster det?,Questions,0,0,2,1,2019-12-10 18:38:17
Jeg er allerede færdig.,Simple positive,1,-2,2,2,2019-12-10 18:38:17
"Hun havde en god og tryg opvækst i barndommen, men som 12-13 årig havnede hun i det forkerte selskab.",Complex sentences,-2,1,-2,-3,2019-12-10 18:38:18
Hun klarede det nu meget godt.,After but,2,-1,2,3,2019-12-10 18:38:18
"Der var beskidt, men vi havde det godt.",With but,2,1,0,2,2019-12-10 18:38:18
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,1,1,3,2,2019-12-10 18:38:18
Jeg har ikke en bedre forklaring selv.,After but,-1,-1,-2,-2,2019-12-10 18:38:18
Det er ikke skønt.,Simple negative,-1,-1,-1,-1,2019-12-10 18:38:19
Han havde ikke lyst.,After but,-3,-2,2,-2,2019-12-10 18:38:19
Det er meget koldt,Simple negative,-2,0,-2,-1,2019-12-10 18:38:19
"Havde han ikke haft den tro på mig og mine evner, havde jeg aldrig troet, at det ville være en reel mulighed for mig",Complex sentences,2,2,2,2,2019-12-10 18:38:20
"Jeg tror, at vi tog fejl.",Complex sentences,-2,1,1,-1,2019-12-10 18:38:20
Vil du ikke nok lade være?,Questions,-2,2,-1,-2,2019-12-10 18:38:20
Du har kraftedeme en mening om alt.,Simple negative,-2,3,2,-1,2019-12-10 18:38:20
Du gætter det aldrig.,Simple positive,2,4,-2,2,2019-12-11 11:59:22
"Jeg tror ikke, hun har forstået det.",Before but,-3,NA,1,NA,2019-12-11 11:59:22
Jeg har forsøgt at få den idé ud i verden,Complex sentences,-3,3,2,-2,2019-12-11 12:5:5
Så blev jeg syg.,After but,-2,3,-3,-2,2019-12-11 12:5:6
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",Complex sentences,2,-3,3,3,2019-12-11 12:5:7
Vi er der snart.,Simple positive,0,-2,3,0,2019-12-11 12:5:8
Det er dig skat.,Not question,-4,3,-3,-4,2019-12-11 12:5:10
"Det er trist, når de helt små børn siger ord, de ikke selv forstår.",Complex sentences,2,-3,3,3,2019-12-11 12:5:10
Du har nogle gode idéer.,After but,-1,1,2,0,2019-12-11 12:5:11
Det er vel ikke en mulighed.,Simple negative,-2,2,3,0,2019-12-11 12:5:11
Det tror jeg ikke på.,Before but,-3,3,-3,-3,2019-12-11 12:5:12
Vi kan ikke den dag.,Simple negative,0,1,-1,-1,2019-12-11 12:5:13
"Han er lidt dum, men han er også lidt sød.",With but,2,-2,-1,2,2019-12-11 12:5:14
Jeg kan ikke lide at tale med dem.,Simple negative,-3,3,-2,-2,2019-12-11 12:5:14
Du har brug for hjælp.,Not question,-1,3,-3,1,2019-12-11 12:5:14
"Jeg ved ikke, hvornår det har gået bedre.",Simple positive,0,3,-1,-2,2019-12-11 12:5:15
Man kunne gøre det anderledes.,Not question,0,2,3,1,2019-12-11 12:5:16
"Jeg tror, at vi tog fejl.",Complex sentences,-2,3,2,1,2019-12-11 12:5:16
Du burde gøre mere end at blande dig.,Complex sentences,-2,3,-3,-1,2019-12-11 12:5:16
Han kan hoppe højt.,Before but,1,-2,1,1,2019-12-11 12:5:17
Der var beskidt.,Before but,-2,2,-2,-2,2019-12-11 12:5:17
Det skal vi se.,Simple positive,1,1,2,1,2019-12-11 12:5:18
"Der var beskidt, men vi havde det godt.",With but,-1,-1,2,1,Thu Dec 12 2019 07:12:07 GMT+0100 (CET)
Hvad koster det?,Questions,-2,2,-2,1,Thu Dec 12 2019 07:12:07 GMT+0100 (CET)
Du har nogle gode idéer.,After but,1,1,-1,1,Thu Dec 12 2019 23:17:16 GMT+0100 (CET)
Jeg stemmer på dig.,Simple positive,3,-3,-2,4,Thu Dec 12 2019 23:17:16 GMT+0100 (CET)
Motion holder hjernen sund gennem hele livet.,Simple positive,2,-3,3,2,Thu Dec 12 2019 23:17:17 GMT+0100 (CET)
Det er dit mål.,Not question,1,3,2,2,Thu Dec 12 2019 23:17:17 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,-2,2,-3,-2,Thu Dec 12 2019 23:17:18 GMT+0100 (CET)
Du kan tro ja!,Simple positive,2,-2,2,1,Thu Dec 12 2019 23:17:18 GMT+0100 (CET)
Det er dig skat.,Not question,4,-3,2,3,Thu Dec 12 2019 23:17:19 GMT+0100 (CET)
Du har nogle gode idéer.,After but,1,1,-1,1,Thu Dec 12 2019 23:17:19 GMT+0100 (CET)
Nu er du bare dum at høre på!!,After but,-4,3,-3,-3,Thu Dec 12 2019 23:17:19 GMT+0100 (CET)
Det er flot og velfortjent,Simple positive,3,-4,1,3,Thu Dec 12 2019 23:17:20 GMT+0100 (CET)
Han er lidt dum.,Before but,-3,-2,2,-1,Thu Dec 12 2019 23:17:20 GMT+0100 (CET)
Jeg har ikke en bedre forklaring selv.,After but,-2,-2,0,0,Thu Dec 12 2019 23:17:20 GMT+0100 (CET)
Nu er du bare dum at høre på!!,After but,-4,3,-3,-3,Thu Dec 12 2019 23:17:20 GMT+0100 (CET)
Vi er ikke nødt til at have sandheden.,Simple negative,-2,-3,-1,-1,Thu Dec 12 2019 23:17:21 GMT+0100 (CET)
Pas på rovfiskene!,Simple negative,-3,3,-3,NA,Thu Dec 12 2019 23:17:21 GMT+0100 (CET)
Min præmie er her.,Not question,2,3,3,3,Thu Dec 12 2019 23:17:21 GMT+0100 (CET)
"Det tror jeg ikke på, men jeg har ikke en bedre forklaring selv.",With but,-2,2,-1,-1,Thu Dec 12 2019 23:17:22 GMT+0100 (CET)
Der var beskidt.,Before but,-2,0,-2,-2,Thu Dec 12 2019 23:17:22 GMT+0100 (CET)
Vi havde det godt.,After but,3,-4,4,4,Thu Dec 12 2019 23:17:22 GMT+0100 (CET)
"Før var det okay, men nu er det for galt.",With but,-2,2,-1,-1,Thu Dec 12 2019 23:17:22 GMT+0100 (CET)
Der var beskidt.,Before but,-2,1,0,-1,Thu Dec 12 2019 23:24:52 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,-2,2,-2,-1,Thu Dec 12 2019 23:24:52 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-3,2,-2,-3,Thu Dec 12 2019 23:24:53 GMT+0100 (CET)
Det er ikke et spændende eksperiment.,Simple negative,-2,1,0,-1,Thu Dec 12 2019 23:24:53 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,4,-3,0,3,Thu Dec 12 2019 23:24:54 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det, men hun klarede det nu meget godt.",With but,0,-2,-3,2,Thu Dec 12 2019 23:24:54 GMT+0100 (CET)
Den stakkels landmand må ikke få en traktor.,Not question,-3,2,-2,0,Thu Dec 12 2019 23:24:54 GMT+0100 (CET)
Det er ikke sjovt.,Simple negative,-3,1,-2,0,Thu Dec 12 2019 23:24:55 GMT+0100 (CET)
Betjeningen var elendig.,After but,-3,3,1,2,Thu Dec 12 2019 23:24:55 GMT+0100 (CET)
Før var du sjov.,Before but,-2,1,-1,-2,Thu Dec 12 2019 23:24:55 GMT+0100 (CET)
Vi havde det godt.,After but,3,-2,1,2,Thu Dec 12 2019 23:24:55 GMT+0100 (CET)
Du gætter det aldrig.,Simple positive,3,2,-2,3,Thu Dec 12 2019 23:24:56 GMT+0100 (CET)
Maden var god.,Before but,4,-4,3,3,Thu Dec 12 2019 23:24:56 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-2,0,-1,0,Thu Dec 12 2019 23:24:56 GMT+0100 (CET)
"Er der noget personligt, som du ikke har haft tid til?",Questions,-3,0,-2,-1,Thu Dec 12 2019 23:24:57 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,-2,2,-1,-2,Thu Dec 12 2019 23:24:57 GMT+0100 (CET)
Det ligner ikke dig.,Simple negative,-3,2,-2,-1,Thu Dec 12 2019 23:24:57 GMT+0100 (CET)
Vi havde det godt.,After but,3,-2,1,2,Thu Dec 12 2019 23:24:58 GMT+0100 (CET)
Det havde jeg glemt.,Simple negative,-2,-2,0,-1,Thu Dec 12 2019 23:24:58 GMT+0100 (CET)
Han havde ikke lyst.,After but,-3,0,-3,-3,Thu Dec 12 2019 23:24:58 GMT+0100 (CET)
Jeg kan høre det.,Simple positive,0,-2,2,1,Fri Dec 13 2019 08:11:47 GMT+0100 (CET)
Jeg er blank.,Before but,-1,1,-1,0,Fri Dec 13 2019 08:11:48 GMT+0100 (CET)
Den har hverken en funktion eller en betydning,Simple negative,-3,3,-2,-2,Fri Dec 13 2019 08:11:48 GMT+0100 (CET)
Det var sådan du havde det.,Not question,0,-1,2,1,Fri Dec 13 2019 08:11:49 GMT+0100 (CET)
De spiller stadig.,Not question,0,-1,2,1,Fri Dec 13 2019 08:11:50 GMT+0100 (CET)
programmet har givet anledning til panderynker.,Simple negative,-2,2,3,1,Fri Dec 13 2019 08:11:50 GMT+0100 (CET)
Før var du sjov.,Before but,-2,3,-2,-2,Fri Dec 13 2019 08:11:50 GMT+0100 (CET)
Jeg er blank.,Before but,-1,1,2,-1,Fri Dec 13 2019 08:11:50 GMT+0100 (CET)
Han havde ikke lyst.,After but,-1,1,2,0,Fri Dec 13 2019 08:11:50 GMT+0100 (CET)
Før var du sjov.,Before but,-2,2,-1,-2,Fri Dec 13 2019 08:11:51 GMT+0100 (CET)
Han kan hoppe højt.,Before but,1,1,2,1,Fri Dec 13 2019 08:11:51 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,4,-3,4,4,Fri Dec 13 2019 08:11:51 GMT+0100 (CET)
Det er ikke skønt.,Simple negative,-2,2,-1,-2,Fri Dec 13 2019 08:11:51 GMT+0100 (CET)
"Han kan hoppe højt, men han kan ikke løbe særlig hurtigt.",With but,0,2,2,0,Fri Dec 13 2019 08:11:52 GMT+0100 (CET)
Det er vildt spændende.,Simple positive,4,3,3,4,Fri Dec 13 2019 08:11:52 GMT+0100 (CET)
Jeg har forsøgt at få den idé ud i verden,Complex sentences,0,1,1,-1,Fri Dec 13 2019 08:11:52 GMT+0100 (CET)
"Når alle udgifter og indtægter er gjort op, viser budgetopfølgningen, at året forventes at slutte med god balance i regnskabet.",Complex sentences,3,-3,4,4,Fri Dec 13 2019 08:11:53 GMT+0100 (CET)
Han er også lidt sød.,After but,3,-1,-1,3,Fri Dec 13 2019 08:11:53 GMT+0100 (CET)
Det tror jeg ikke på.,Before but,-2,3,-2,-1,Fri Dec 13 2019 08:11:53 GMT+0100 (CET)
"Jeg tror, at vi tog fejl.",Complex sentences,-1,3,-2,1,Fri Dec 13 2019 08:11:54 GMT+0100 (CET)
Jeg er blank.,Before but,-2,-1,1,-2,Fri Dec 13 2019 12:13:48 GMT+0100 (CET)
"Ingen kan være i tvivl om, at det er fortjent",Simple positive,2,-3,2,1,Fri Dec 13 2019 12:13:48 GMT+0100 (CET)
Så blev jeg syg.,After but,-3,-1,-3,-2,Fri Dec 13 2019 12:13:49 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,2,1,1,1,Fri Dec 13 2019 12:13:49 GMT+0100 (CET)
Er det ikke mere praktisk at flyve?,Questions,0,-1,1,0,Fri Dec 13 2019 12:13:50 GMT+0100 (CET)
Betjeningen var elendig.,After but,-3,2,1,1,Fri Dec 13 2019 12:13:50 GMT+0100 (CET)
"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år",Complex sentences,3,1,-2,2,Fri Dec 13 2019 12:13:50 GMT+0100 (CET)
Jeg er blank.,Before but,-2,-1,2,-2,Fri Dec 13 2019 12:13:50 GMT+0100 (CET)
Han er lidt dum.,Before but,-2,-2,-2,0,Fri Dec 13 2019 12:13:51 GMT+0100 (CET)
Spiller de stadig?,Questions,-1,1,-1,0,Fri Dec 13 2019 12:13:51 GMT+0100 (CET)
Han er også lidt sød.,After but,3,-2,1,2,Fri Dec 13 2019 12:13:51 GMT+0100 (CET)
Før var du sjov.,Before but,-1,-1,-1,0,Fri Dec 13 2019 12:13:52 GMT+0100 (CET)
Jeg er blank.,Before but,-2,-1,2,-2,Fri Dec 13 2019 12:13:52 GMT+0100 (CET)
Har du ikke kun koncentreret dig om udviklingen?,Questions,-2,1,-1,-1,Fri Dec 13 2019 12:13:52 GMT+0100 (CET)
"Jeg ville have stået op hele tiden, men jeg blev træt halvvejs og satte mig ned.",With but,-1,1,-1,-1,Fri Dec 13 2019 12:13:53 GMT+0100 (CET)
Før var du sjov.,Before but,-1,-1,-1,0,Fri Dec 13 2019 12:13:53 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-2,-1,-2,2,Fri Dec 13 2019 12:13:53 GMT+0100 (CET)
"Maden var god, men betjeningen var elendig.",With but,0,-2,-2,3,Fri Dec 13 2019 12:13:53 GMT+0100 (CET)
Du kan gøre plads til mere leg og kreativitet.,Not question,1,1,2,2,Fri Dec 13 2019 12:13:54 GMT+0100 (CET)
Slap lig af.,Simple negative,-3,4,2,-3,Fri Dec 13 2019 12:13:54 GMT+0100 (CET)
Det virker ikke.,Not question,-3,3,-3,0,Fri Dec 13 2019 12:47:07 GMT+0100 (CET)
Det tror jeg ikke på.,Before but,-2,1,1,-1,Fri Dec 13 2019 12:47:08 GMT+0100 (CET)
Så er det jo lige meget med alle mine stavefejl.,Complex sentences,-2,-2,1,-1,Fri Dec 13 2019 12:47:08 GMT+0100 (CET)
"Der var beskidt, men vi havde det godt.",With but,2,-2,1,0,Fri Dec 13 2019 12:47:08 GMT+0100 (CET)
Han kan hoppe højt.,Before but,2,-2,2,2,Fri Dec 13 2019 12:47:09 GMT+0100 (CET)
Han er lidt dum.,Before but,-3,-3,2,1,Fri Dec 13 2019 12:47:09 GMT+0100 (CET)
Har du ikke brug for hjælp?,Questions,2,-2,3,3,Fri Dec 13 2019 12:47:09 GMT+0100 (CET)
"Hvis du ikke kan forstå mine beskeder, kan du så forstå denne?",Questions,-1,1,0,-2,Fri Dec 13 2019 12:47:10 GMT+0100 (CET)
Det er dit mål.,Not question,2,3,2,3,Fri Dec 13 2019 12:47:10 GMT+0100 (CET)
Du gør mig lige en tjeneste.,Not question,2,-2,1,2,Fri Dec 13 2019 12:47:10 GMT+0100 (CET)
"Han kunne godt have givet en hånd med, men han havde ikke lyst.",With but,-4,3,-3,-3,Fri Dec 13 2019 12:47:11 GMT+0100 (CET)
Det er gaven der bliver ved med at give.,Simple positive,3,-3,2,3,Fri Dec 13 2019 12:47:11 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,2,-1,-2,1,Fri Dec 13 2019 12:47:11 GMT+0100 (CET)
Jeg tror du har forstået det.,Simple positive,2,-3,1,2,Fri Dec 13 2019 12:47:11 GMT+0100 (CET)
"Ej, hvor gør det ondt.",Simple negative,-3,3,-3,-2,Fri Dec 13 2019 12:47:12 GMT+0100 (CET)
Maden var god.,Before but,3,-2,1,2,Fri Dec 13 2019 12:47:12 GMT+0100 (CET)
Jeg ville have stået op hele tiden.,Before but,2,-1,-2,1,Fri Dec 13 2019 12:47:12 GMT+0100 (CET)
"Hun havde en god og tryg opvækst i barndommen, men som 12-13 årig havnede hun i det forkerte selskab.",Complex sentences,-2,3,-3,-2,Fri Dec 13 2019 12:47:13 GMT+0100 (CET)
Han er også lidt sød.,After but,2,-3,-1,1,Fri Dec 13 2019 12:47:13 GMT+0100 (CET)
Maden er for stærk.,Simple negative,-2,2,-3,-2,Fri Dec 13 2019 12:47:13 GMT+0100 (CET)
Hun reagerede voldeligt og aggressivt.,Simple negative,-4,4,-4,-3,Fri Dec 13 2019 16:03:29 GMT+0100 (CET)
"Kæft, det er bare ikke sejt.",Simple negative,-4,5,-4,-4,Fri Dec 13 2019 16:03:30 GMT+0100 (CET)
Han havde ikke lyst.,After but,-1,2,-1,0,Fri Dec 13 2019 16:03:30 GMT+0100 (CET)
Så er det jo lige meget med alle mine stavefejl.,Complex sentences,1,-1,2,1,Fri Dec 13 2019 16:03:30 GMT+0100 (CET)
Du vil ikke lade være.,Not question,-2,3,-2,-1,Fri Dec 13 2019 16:03:31 GMT+0100 (CET)
Han holder snart op.,Not question,1,-2,2,1,Fri Dec 13 2019 16:03:31 GMT+0100 (CET)
Vi gør bedst det.,Not question,3,2,2,2,Fri Dec 13 2019 16:03:32 GMT+0100 (CET)
"Jeg havde det super sjovt, men så blev jeg syg.",With but,-2,3,2,0,Fri Dec 13 2019 16:03:32 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-5,-4,Fri Dec 13 2019 16:03:32 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-3,1,3,-2,Fri Dec 13 2019 16:03:33 GMT+0100 (CET)
